ID,Carbonation Type,Carbonation Begin Age,Time 0 Carbonation Depth average,Time 0 Carbonation Depth deviation,CO2,Determination Method,Lab RH,Lab Temperature,Field RH,Field Temperature,Field Storage Type,Field Compass Direction
1,ACC,,,,2,,,,,,,
2,ACC,,,,2,,,,,,,
3,ACC,,,,2,,,,,,,
4,ACC,,,,2,,,,,,,
5,ACC,,,,2,,,,,,,
6,ACC,,,,2,,,,,,,
7,ACC,,,,2,,,,,,,
8,ACC,,,,2,,,,,,,
9,ACC,,,,2,,,,,,,
10,ACC,,,,2,,,,,,,
11,ACC,,,,2,,,,,,,
12,ACC,,,,2,,,,,,,
13,ACC,,,,2,,,,,,,
14,ACC,,,,2,,,,,,,
15,ACC,,,,2,,,,,,,
16,ACC,,,,2,,,,,,,
17,ACC,,,,2,,,,,,,
18,ACC,,,,2,,,,,,,
19,NAC,,,,0.045,,65,20,,,,
20,NAC,,,,0.045,,65,20,,,,
21,NAC,,,,0.045,,65,20,,,,
22,NAC,,,,0.045,,65,20,,,,
23,NAC,,,,0.045,,65,20,,,,
24,NAC,,,,0.045,,65,20,,,,
25,NAC,,,,0.045,,65,20,,,,
26,NAC,,,,0.045,,65,20,,,,
27,NAC,,,,0.045,,65,20,,,,
28,NAC,,,,0.045,,65,20,,,,
29,NAC,,,,0.045,,65,20,,,,
30,NAC,,,,0.045,,65,20,,,,
31,NAC,,,,0.045,,65,20,,,,
32,NAC,,,,0.045,,65,20,,,,
33,NAC,,,,0.045,,65,20,,,,
34,NAC,,,,0.045,,65,20,,,,
35,NAC,,,,0.045,,65,20,,,,
36,NAC,,,,0.045,,65,20,,,,
37,NAC,,,,0.045,,65,20,,,,
38,NAC,,,,0.045,,65,20,,,,
39,NAC,,,,0.045,,65,20,,,,
40,NAC,,,,0.045,,65,20,,,,
41,NAC,,,,0.045,,65,20,,,,
42,NAC,,,,0.045,,65,20,,,,
43,NAC,,,,0.045,,65,20,,,,
44,NAC,,,,0.045,,65,20,,,,
45,NAC,,,,0.045,,65,20,,,,
46,NAC,,,,0.045,,65,20,,,,
47,NAC,,,,0.045,,65,20,,,,
48,NAC,,,,0.045,,65,20,,,,
49,NAC,,,,0.045,,65,20,,,,
50,NAC,,,,0.045,,65,20,,,,
51,NAC,,,,0.045,,65,20,,,,
52,NAC,,,,0.045,,65,20,,,,
53,NAC,,,,0.045,,65,20,,,,
54,NAC,,,,0.045,,65,20,,,,
55,NAC,,,,0.045,,65,20,,,,
56,NAC,,,,0.045,,65,20,,,,
57,NAC,,,,0.045,,65,20,,,,
58,ACC,28,,,4,Phenolphthalein 1% in 95% Ethanol,61.8,20.6,,,,
59,NAC,28,,,0.032,,69,20.2,,,,
60,ACC,28,2.3,,1,,59.8,20.3,,,,
