ID,Cement Type,Cement Strength Class,Cement Strength Development,Cement Amount,Addition Type,Addition Amount,Binder Amount,Aggregate Type,Admixture Type,Max Grain Size,Grading Curve,wb ratio,kNAC,
1,CEM I,42.5,R,320,,,320,,Superplasticizer,,,0.4,0.712,
2,CEM I,42.5,R,320,,,320,,Superplasticizer,,,0.45,0.928,
3,CEM I,42.5,R,320,,,320,,Superplasticizer,,,0.5,2.309,
4,CEM I,42.5,R,320,,,320,,Superplasticizer,,,0.55,1.3,
5,CEM I,42.5,R,320,,,320,,Superplasticizer,,,0.6,3.155,
6,CEM I,42.5,R,288,Fly ash,64,352,,Superplasticizer,,,0.4,0.217,
7,CEM I,42.5,R,288,Fly ash,64,352,,Superplasticizer,,,0.45,0.557,
8,CEM I,42.5,R,288,Fly ash,64,352,,Superplasticizer,,,0.5,1.386,
9,CEM I,42.5,R,288,Fly ash,64,352,,Superplasticizer,,,0.55,1.052,
10,CEM I,42.5,R,288,Fly ash,64,352,,Superplasticizer,,,0.6,2.447,
11,CEM I,42.5,R,291,Silica fume,15,306,,Superplasticizer,,,0.35,0.774,
12,CEM I,42.5,R,291,Silica fume,15,306,,Superplasticizer,,,0.4,0.959,
13,CEM I,42.5,R,291,Silica fume,15,306,,Superplasticizer,,,0.55,1.671,
14,CEM III/B,42.5,N,320,,,320,,Superplasticizer,,,0.4,1.176,
15,CEM III/B,42.5,N,320,,,320,,Superplasticizer,,,0.45,1.702,
16,CEM III/B,42.5,N,320,,,320,,Superplasticizer,,,0.5,2.104,
17,CEM III/B,42.5,N,320,,,320,,Superplasticizer,,,0.55,2.723,
18,CEM III/B,42.5,N,320,,,320,,Superplasticizer,,,0.6,3.683,
19,CEM II/B-M,42.5,N,278.54,V-LL,101.46,380,,,,AB16,0.42,2.695,
20,CEM III/A,42.5,N,350,,,350,,,,AB16,0.45,2.291,
21,CEM I,32.5,R,320,,,320,,,,AB16,0.5,2.897,
22,CEM II/B-S,32.5,R,320,,,320,,,,AB16,0.5,4.028,
23,CEM I,42.5,N,420,,,420,,,,U8,0.4,1.281,
24,CEM II/B-M,32.5,R,350,,,350,,,,AB16,0.45,2.537,
25,CEM II/B-M,32.5,R,270,V-LL,80,350,,,,AB16,0.45,2.752,
26,CEM II/A-LL,32.5,R,340,,,340,,,,AB32,0.48,2.611,
27,CEM I,32.5,R,320,,,320,,,,AB32,0.59,3.38,
28,CEM III/A,32.5,N,460,,,460,,,,0/4,0.5,5.062,
29,CEM II/B-LL,42.5,R,291.75,Limestone,97.25,389,,,,AB8,0.5,4.542,
30,CEM II/A-V,42.5,N,340,Fly ash,60,400,,,,AB22,0.36,1.455,
31,CEM I,32.5,R,420,,,420,,,,AB8,0.42,1.739,
32,CEM II/A-V,32.5,R,417.6,Fly ash,62.4,480,,,,AB8,0.37,2.212,
33,CEM I,32.5,R,350,,,350,,,,AB22,0.42,1.824,
34,CEM I,42.5,N,420,,,420,,,,AB8,0.4,1.265,
35,CEM I,42.5,R,320,,,320,,,,AB16,0.57,3.017,
36,CEM II/B-V,42.5,R,300,Fly ash,100,400,,,,AB22,0.37,2.455,
37,CEM II/B-S,32.5,R,350,,,350,,,,AB16,0.45,2.456,
38,CEM I,42.5,N,350,,,350,,,,BC8,0.6,5.182,
39,CEM II/A-LL,32.5,R,236.6,Slag,43.4,280,,,,AB16,0.5,2.557,
40,CEM III/A,32.5,N,134.4,Slag,145.6,280,,,,AB16,0.45,4.067,
41,CEM III/A,32.5,N,134.4,Slag,145.6,280,,,,AB16,0.55,7.593,
42,CEM III/A,32.5,N,134.4,Slag,145.6,280,,,,AB16,0.6,7.906,
